"Year","State","market_type","measure_type","unit_info","Domain.Category","Value"
2023,"CALIFORNIA",NA,"PRICE RECEIVED","$ / CWT","NOT SPECIFIED",121
2023,"CALIFORNIA","FRESH MARKET","PRICE RECEIVED","$ / CWT","NOT SPECIFIED",NA
2023,"CALIFORNIA","PROCESSING","PRICE RECEIVED","$ / CWT","NOT SPECIFIED",NA
2023,"FLORIDA",NA,"PRICE RECEIVED","$ / CWT","NOT SPECIFIED",147
2023,"FLORIDA","FRESH MARKET","PRICE RECEIVED","$ / CWT","NOT SPECIFIED",NA
2023,"FLORIDA","PROCESSING","PRICE RECEIVED","$ / CWT","NOT SPECIFIED",NA
2023,"CALIFORNIA",NA,"ACRES HARVESTED",NA,"NOT SPECIFIED",42700
2023,"CALIFORNIA",NA,"APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","NUMBER, AVG","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","NUMBER, AVG","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","NUMBER, AVG","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"CALIFORNIA",NA,"APPLICATIONS","NUMBER, AVG","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA",NA,"TREATED","PCT OF AREA BEARING, AVG","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA",NA,"TREATED","PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA",NA,"TREATED","PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",NA
2023,"CALIFORNIA",NA,"TREATED","PCT OF AREA BEARING, AVG","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA",NA,"YIELD","CWT / ACRE","NOT SPECIFIED",575
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)",3300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (BLAD = 30006)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)",2800
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)",6600
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)",603100
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",30300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)",8600
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)",22400
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)",14600
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)",7100
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",7200
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",10800
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)",4000
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)",3300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)",2300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (PYDIFLUMETOFEN = 90110)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)",10600
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)",8300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)",3600
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (SULFUR = 77501)",1258100
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)",1300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)",10600
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (THIRAM = 79801)",269500
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (TOTAL)",2338800
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)",14600
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)",3900
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)",71400
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, HERBICIDE: (TOTAL)",89700
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)",12800
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)",3300
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)",2800
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB","CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)",NA
